AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Tiruchirappalli (East),141,GEN,Tiruchirappalli,Inigo Irudayarajs.,Dravida Munetra Kazhagam,247148,171321,69.3 %,53797,31.4%
Tiruchirappalli (West),140,GEN,Tiruchirappalli,Nehru K.N.,Dravida Munetra Kazhagam,260130,180982,69.6 %,85109,47.0%
Tiruchuli,208,GEN,Virudhunagar,Thangam Thenarasu,Dravida Munetra Kazhagam,213068,172071,80.8 %,60992,35.4%
Tirunelveli,224,GEN,Tirunelveli,Nainar Nagenthran,Bharatiya Janta Party,278329,195496,70.2 %,23107,11.8%
Tiruppattur,185,GEN,Sivaganga,Kr.Periyakaruppan,Dravida Munetra Kazhagam,281221,209913,74.6 %,37374,17.8%
Tirupattur,50,GEN,Vellore,A. Nallathambi,Dravida Munetra Kazhagam,229174,184298,80.4 %,28240,15.3%
Tiruppur (North),113,GEN,Coimbatore,Vijeyakumar.K.N,All India Anna Dravida Munnetra Kazhagam,354414,235930,66.6 %,40102,17.0%
Tiruppur (South),114,GEN,Coimbatore,Selvaraj. K.,Dravida Munetra Kazhagam,261872,173276,66.2 %,4709,2.7%
Tiruttani,3,GEN,Thiruvallur,S.Chandran,Dravida Munetra Kazhagam,276906,230959,83.4 %,29253,12.7%
Tiruvadanai,210,GEN,Ramanathapuram,Karumanickam,Indian National Congress,279531,201047,71.9 %,13852,6.9%
Tiruvannamalai,63,GEN,Tiruvannamalai,E V Velu,Dravida Munetra Kazhagam,274359,206642,75.3 %,94673,45.8%
Thiruvottiyur,10,GEN,Thiruvallur,K.P.Shankar,Dravida Munetra Kazhagam,287777,198885,69.1 %,37661,18.9%
Tittakudi,151,SC,Cuddalore,Ganesan  C.V.,Dravida Munetra Kazhagam,213980,167185,78.1 %,21563,12.9%
Udhagamandalam,108,GEN,The Nilgiris,Ganesh R.,Indian National Congress,201429,139726,69.4 %,5348,3.8%
Udumalaipettai,125,GEN,Coimbatore,Radhakrishnank.,All India Anna Dravida Munnetra Kazhagam,257707,192880,74.8 %,21895,11.4%
Ulundurpettai,77,GEN,Viluppuram,Manikannan A J,Dravida Munetra Kazhagam,282798,242573,85.8 %,5256,2.2%
Usilampatti,197,GEN,Madurai,Ayyappan P,All India Anna Dravida Munnetra Kazhagam,274840,211481,76.9 %,7477,3.5%
Uthangarai,51,SC,Krishnagiri,T.M.Tamilselvam,All India Anna Dravida Munnetra Kazhagam,227710,186864,82.1 %,28387,15.2%
Uthiramerur,36,GEN,Kancheepuram,Sundar K,Dravida Munetra Kazhagam,247035,209577,84.8 %,1622,0.8%
Valparai,124,SC,Coimbatore,Amulkandasami T K,All India Anna Dravida Munnetra Kazhagam,198211,143757,72.5 %,12223,8.5%
Vandavasi,69,SC,Tiruvannamalai,Ambethkumar S,Dravida Munetra Kazhagam,230358,184205,80.0 %,35953,19.5%
Vaniyambadi,47,GEN,Vellore,G.Sendhil Kumar,All India Anna Dravida Munnetra Kazhagam,237690,188505,79.3 %,4904,2.6%
Vanur,73,SC,Viluppuram,Chakrapani M,All India Anna Dravida Munnetra Kazhagam,220185,180845,82.1 %,21727,12.0%
Vasudevanallur,220,SC,Tirunelveli,Sadhan Thirumalaikumar Doctor.T,Dravida Munetra Kazhagam,229421,173710,75.7 %,2367,1.4%
Vedaranyam,165,GEN,Nagapattinam,O.S.Manian,All India Anna Dravida Munnetra Kazhagam,184292,157387,85.4 %,12329,7.8%
Vedasandur,133,GEN,Dindigul,Gandhirajan S,Dravida Munetra Kazhagam,253655,212277,83.7 %,17553,8.3%
Veerapandi,91,GEN,Salem,Rajamuthu M.,All India Anna Dravida Munnetra Kazhagam,248943,222293,89.3 %,19895,8.9%
Velachery,26,GEN,Chennai,Jmh.Aassan Maulaana,Indian National Congress,300466,174972,58.2 %,4352,2.5%
Vellore,43,GEN,Vellore,Karthikeyan .P,Dravida Munetra Kazhagam,245491,178458,72.7 %,9181,5.1%
Veppanahalli,54,GEN,Krishnagiri,K.P.Munusamy,All India Anna Dravida Munnetra Kazhagam,238757,203479,85.2 %,3054,1.5%
Vikravandi,75,GEN,Viluppuram,Pugazhenthi N,Dravida Munetra Kazhagam,223362,192495,86.2 %,9573,5.0%
Vilathikulam,213,GEN,Thoothukkudi,Markandayan V,Dravida Munetra Kazhagam,209256,166133,79.4 %,38549,23.2%
Vilavancode,233,GEN,Kanniyakumari,Vijayadharani S,Indian National Congress,242916,167054,68.8 %,28669,17.2%
Villivakkam,14,GEN,Chennai,A . Vetriazhagan,Dravida Munetra Kazhagam,248131,142648,57.5 %,37237,26.1%
Villupuram,74,GEN,Viluppuram,Lakshmanan R,Dravida Munetra Kazhagam,249865,203890,81.6 %,14868,7.3%
Viralimalai,179,GEN,Pudukkottai,Vijaya Basker C,All India Anna Dravida Munnetra Kazhagam,213462,193038,90.4 %,23598,12.2%
Virudhunagar,206,GEN,Virudhunagar,Seenivasan A.R.R,Dravida Munetra Kazhagam,212379,160147,75.4 %,21339,13.3%
Virugampakkam,22,GEN,Chennai,Amv.Prabhakara Raja,Dravida Munetra Kazhagam,273740,167524,61.2 %,18367,11.0%
Vriddhachalam,152,GEN,Cuddalore,Radhakrishnan,Indian National Congress,242427,195973,80.8 %,862,0.4%
Yercaud,83,ST,Salem,G. Chitra,All India Anna Dravida Munnetra Kazhagam,273284,236945,86.7 %,25955,11.0%
